Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
"Fabulous Art & Crafts Festival on Oracle Plaza, 6346 N. Oracle, Tucson, Az",https://www.eventbrite.com/e/fabulous-art-crafts-festival-on-oracle-plaza-6346-n-oracle-tucson-az-tickets-649795615177?aff=ebdssbdestsearch,,"Fri, Feb 2 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Fabulous Art & Crafts Festival on Oracle Plaza, 6346 N. Oracle, Tucson, Az",https://www.eventbrite.com/e/fabulous-art-crafts-festival-on-oracle-plaza-6346-n-oracle-tucson-az-tickets-649795615177?aff=ebdssbdestsearch,,N/A,"Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Art & Crafts Festival on Oracle Plaza, 6346 N Oracle, March 29-31, 2024",https://www.eventbrite.com/e/art-crafts-festival-on-oracle-plaza-6346-n-oracle-march-29-31-2024-tickets-649797189887?aff=ebdssbdestsearch,,"Fri, Mar 29 •  10:00 AM ","Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Art & Crafts Festival on Oracle Plaza, 6346 N Oracle, March 29-31, 2024",https://www.eventbrite.com/e/art-crafts-festival-on-oracle-plaza-6346-n-oracle-march-29-31-2024-tickets-649797189887?aff=ebdssbdestsearch,,N/A,"Oracle Plaza 6346 North Oracle Tucson, AZ 85704",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Art & Crafts Festival on Silverbell & Cortaro, Fry's Continental Plaza",https://www.eventbrite.com/e/art-crafts-festival-on-silverbell-cortaro-frys-continental-plaza-tickets-649804973167?aff=ebdssbdestsearch,,"Fri, Nov 3 •  10:00 AM ","7850 N Silverbell Rd 7850 North Silverbell Road Tucson, AZ 85743",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Art & Crafts Festival on Silverbell & Cortaro, Fry's Continental Plaza",https://www.eventbrite.com/e/art-crafts-festival-on-silverbell-cortaro-frys-continental-plaza-tickets-649804973167?aff=ebdssbdestsearch,,N/A,"7850 N Silverbell Rd 7850 North Silverbell Road Tucson, AZ 85743",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Art & Crafts Festival on  7850 N Silverbell,  Cortaro) March15,16.17, 2024",https://www.eventbrite.com/e/art-crafts-festival-on-7850-n-silverbell-cortaro-march151617-2024-tickets-674418813827?aff=ebdssbdestsearch,,"Fri, Mar 15 •  10:00 AM ","7850 N Silverbell Rd 7850 North Silverbell Road Tucson, AZ 85743",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Art & Crafts Festival on  7850 N Silverbell,  Cortaro) March15,16.17, 2024",https://www.eventbrite.com/e/art-crafts-festival-on-7850-n-silverbell-cortaro-march151617-2024-tickets-674418813827?aff=ebdssbdestsearch,,N/A,"7850 N Silverbell Rd 7850 North Silverbell Road Tucson, AZ 85743",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
"Awesome Art and Craft Show on Catalina Pointe, 15930 N Oracle, Catalina",https://www.eventbrite.com/e/awesome-art-and-craft-show-on-catalina-pointe-15930-n-oracle-catalina-tickets-314836383097?aff=ebdssbdestsearch,,"Fri, Oct 27 •  10:00 AM ","Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,N/A,N/A,N/A
"Awesome Art and Craft Show on Catalina Pointe, 15930 N Oracle, Catalina",https://www.eventbrite.com/e/awesome-art-and-craft-show-on-catalina-pointe-15930-n-oracle-catalina-tickets-314836383097?aff=ebdssbdestsearch,,N/A,"Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,N/A,N/A,N/A
Art and Craft Show on Catalina Pointe across from the Golden Goose,https://www.eventbrite.com/e/art-and-craft-show-on-catalina-pointe-across-from-the-golden-goose-tickets-649814622027?aff=ebdssbdestsearch,,"Sat, Nov 25 •  10:00 AM ","Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,N/A,N/A,N/A
Art and Craft Show on Catalina Pointe across from the Golden Goose,https://www.eventbrite.com/e/art-and-craft-show-on-catalina-pointe-across-from-the-golden-goose-tickets-649814622027?aff=ebdssbdestsearch,,N/A,"Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,N/A,N/A,N/A
"Art and Craft Show on Catalina Pointe by the Golden Goose, Mar 8,9,10, 23",https://www.eventbrite.com/e/art-and-craft-show-on-catalina-pointe-by-the-golden-goose-mar-8910-23-tickets-649818623997?aff=ebdssbdestsearch,,"Fri, Mar 8 •  10:00 AM ","Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,N/A,N/A,N/A
"Art and Craft Show on Catalina Pointe by the Golden Goose, Mar 8,9,10, 23",https://www.eventbrite.com/e/art-and-craft-show-on-catalina-pointe-by-the-golden-goose-mar-8910-23-tickets-649818623997?aff=ebdssbdestsearch,,N/A,"Catalina Pointe, 15930 N Oracle Rd 15930 North Oracle Road Catalina, AZ 85739",Nancy Criswell,http://www.artattackaz.com,N/A,N/A,N/A
